wwtp,sample_date,Target,Protein,Load
ARA Altenrhein,2022-12-10,IBV,M,0
ARA Altenrhein,2022-12-10,RSV,NA,15546165.424247118
ARA Altenrhein,2022-12-11,IAV,M,14791333.870386656
ARA Altenrhein,2022-12-11,IBV,M,0
ARA Altenrhein,2022-12-11,RSV,NA,19439468.85598316
ARA Altenrhein,2022-12-12,IAV,M,9584273.823675679
ARA Altenrhein,2022-12-12,IBV,M,262416.11047611665
ARA Altenrhein,2022-12-12,RSV,NA,21777833.494956598
ARA Altenrhein,2022-12-13,IAV,M,19842156.95307279
ARA Altenrhein,2022-12-13,IBV,M,529007.9561415102
ARA Altenrhein,2022-12-13,RSV,NA,17018008.16151833
ARA Altenrhein,2022-12-15,IAV,M,33860474.58398129
ARA Altenrhein,2022-12-15,IBV,M,4539138.826955501
ARA Altenrhein,2022-12-15,RSV,NA,24828698.5008483
ARA Altenrhein,2022-12-17,IAV,M,21822037.08104937
ARA Altenrhein,2022-12-17,IBV,M,1160780.7923849386
ARA Altenrhein,2022-12-17,RSV,NA,15993330.355955157
ARA Altenrhein,2022-12-18,IAV,M,37556656.13630352
ARA Altenrhein,2022-12-18,IBV,M,569654.833154641
ARA Altenrhein,2022-12-18,RSV,NA,18804762.806721047
ARA Altenrhein,2022-12-19,IAV,M,11089347.908270786
ARA Altenrhein,2022-12-19,IBV,M,1795825.9230362095
ARA Altenrhein,2022-12-19,RSV,NA,11624410.430301221
ARA Altenrhein,2022-12-20,IAV,M,30474119.17809453
ARA Altenrhein,2022-12-20,IBV,M,0
ARA Altenrhein,2022-12-20,RSV,NA,8934674.591685716
ARA Altenrhein,2022-12-22,IAV,M,23387841.210608054
ARA Altenrhein,2022-12-22,IBV,M,990165.9374594777
ARA Altenrhein,2022-12-22,RSV,NA,18332645.064818494
ARA Altenrhein,2022-12-24,IAV,M,46112697.55388035
ARA Altenrhein,2022-12-24,IBV,M,5406488.147254816
ARA Altenrhein,2022-12-24,RSV,NA,20680023.7754775
ARA Altenrhein,2022-12-25,IAV,M,34772645.41283798
ARA Altenrhein,2022-12-25,IBV,M,1025445.6427975558
ARA Altenrhein,2022-12-25,RSV,NA,16192131.172883954
ARA Altenrhein,2022-12-26,IAV,M,44152909.97236391
ARA Altenrhein,2022-12-26,IBV,M,2118051.061552544
ARA Altenrhein,2022-12-26,RSV,NA,14009339.92842289
ARA Altenrhein,2022-12-27,IAV,M,45729441.52243485
ARA Altenrhein,2022-12-27,IBV,M,1535739.9557855271
ARA Altenrhein,2022-12-27,RSV,NA,20564695.446407754
ARA Altenrhein,2022-12-29,IAV,M,17696687.721026547
ARA Altenrhein,2022-12-29,IBV,M,996988.300643107
ARA Altenrhein,2022-12-29,RSV,NA,11549318.7984865
ARA Altenrhein,2022-12-31,IAV,M,19744620.51307316
ARA Altenrhein,2022-12-31,IBV,M,827227.0889286727
ARA Altenrhein,2022-12-31,RSV,NA,12533063.630684564
ARA Altenrhein,2023-01-02,IAV,M,12919325.147334758
ARA Altenrhein,2023-01-02,IBV,M,1721839.8972263995
ARA Altenrhein,2023-01-02,RSV,NA,7485394.891499472
ARA Altenrhein,2023-01-03,IAV,M,16847852.233007133
ARA Altenrhein,2023-01-03,IBV,M,1281555.6527313036
ARA Altenrhein,2023-01-03,RSV,NA,12930612.364675222
ARA Altenrhein,2023-01-05,IAV,M,3314556.6803109557
ARA Altenrhein,2023-01-05,IBV,M,274497.9212520069
ARA Altenrhein,2023-01-05,RSV,NA,4043322.206660996
ARA Altenrhein,2023-01-07,IAV,M,4498637.732259635
ARA Altenrhein,2023-01-07,IBV,M,1013320.4565509995
ARA Altenrhein,2023-01-07,RSV,NA,6688846.868253898
ARA Altenrhein,2023-01-08,IAV,M,2420999.0836896105
ARA Altenrhein,2023-01-08,IBV,M,928140.1523418465
ARA Altenrhein,2023-01-08,RSV,NA,5803300.77409187
ARA Altenrhein,2023-01-09,IAV,M,15181128.892619774
ARA Altenrhein,2023-01-09,IBV,M,1445325.4743196433
ARA Altenrhein,2023-01-09,RSV,NA,10837992.215571927
ARA Altenrhein,2023-01-10,IAV,M,9423821.457654392
ARA Altenrhein,2023-01-10,IBV,M,1195538.588832505
ARA Altenrhein,2023-01-10,RSV,NA,8162724.681066165
ARA Altenrhein,2023-01-12,IAV,M,4164521.3605207438
ARA Altenrhein,2023-01-12,IBV,M,1248790.5853697436
ARA Altenrhein,2023-01-12,RSV,NA,6568093.722912548
ARA Altenrhein,2023-01-14,IAV,M,7342241.222419435
ARA Altenrhein,2023-01-14,IBV,M,619406.1926453116
ARA Altenrhein,2023-01-14,RSV,NA,3443026.6797485193
ARA Altenrhein,2023-01-15,IAV,M,4810218.336389654
ARA Altenrhein,2023-01-15,IBV,M,1626866.9274881636
ARA Altenrhein,2023-01-15,RSV,NA,6676321.63933947
ARA Altenrhein,2023-01-16,IAV,M,4249208.521648484
ARA Altenrhein,2023-01-16,IBV,M,607445.8047198042
ARA Altenrhein,2023-01-16,RSV,NA,8197569.782352775
ARA Altenrhein,2023-01-17,IAV,M,6139282.515087745
ARA Altenrhein,2023-01-17,IBV,M,316400.60045323614
ARA Altenrhein,2023-01-17,RSV,NA,7145218.477320332
ARA Altenrhein,2023-01-19,IAV,M,983857.7905507794
ARA Altenrhein,2023-01-19,IBV,M,0
ARA Altenrhein,2023-01-19,RSV,NA,5866945.159651281
ARA Altenrhein,2023-01-21,IAV,M,3897043.7578745214
ARA Altenrhein,2023-01-21,IBV,M,0
ARA Altenrhein,2023-01-21,RSV,NA,4505482.072933483
ARA Altenrhein,2023-01-22,IAV,M,2849577.882453236
ARA Altenrhein,2023-01-22,IBV,M,518123.980544226
ARA Altenrhein,2023-01-22,RSV,NA,3626381.853420398
ARA Altenrhein,2023-01-23,IAV,M,6874194.238692765
ARA Altenrhein,2023-01-23,IBV,M,1037273.0684270832
ARA Altenrhein,2023-01-23,RSV,NA,9620030.785186592
ARA Altenrhein,2023-01-24,IAV,M,1991126.2531385163
ARA Altenrhein,2023-01-24,IBV,M,495899.84726030123
ARA Altenrhein,2023-01-24,RSV,NA,4483185.442195816
ARA Altenrhein,2023-01-26,IAV,M,7440116.744540472
ARA Altenrhein,2023-01-26,IBV,M,1243580.926099031
ARA Altenrhein,2023-01-26,RSV,NA,7428559.533508845
ARA Altenrhein,2023-01-28,IAV,M,6273598.446390737
ARA Altenrhein,2023-01-28,IBV,M,1389116.1650152989
ARA Altenrhein,2023-01-28,RSV,NA,6047714.460270232
ARA Altenrhein,2023-01-29,IAV,M,6169833.999266905
ARA Altenrhein,2023-01-29,IBV,M,1603687.030036664
ARA Altenrhein,2023-01-29,RSV,NA,7234753.2969176285
ARA Altenrhein,2023-01-30,IAV,M,7090226.936517677
ARA Altenrhein,2023-01-30,IBV,M,2268710.503201887
ARA Altenrhein,2023-01-30,RSV,NA,6238842.018235651
ARA Altenrhein,2023-01-31,IAV,M,6600662.769550708
ARA Altenrhein,2023-01-31,IBV,M,1391283.113386554
ARA Altenrhein,2023-01-31,RSV,NA,2232702.0463931537
ARA Altenrhein,2023-02-02,IAV,M,5287930.656739035
ARA Altenrhein,2023-02-02,IBV,M,3901305.2177715916
ARA Altenrhein,2023-02-02,RSV,NA,3348230.4452048517
ARA Altenrhein,2023-02-04,IAV,M,4418442.354729914
ARA Altenrhein,2023-02-04,IBV,M,4418442.354729914
ARA Altenrhein,2023-02-04,RSV,NA,4479052.805546809
ARA Altenrhein,2023-02-05,IAV,M,5230112.967898629
ARA Altenrhein,2023-02-05,IBV,M,9471109.68338416
ARA Altenrhein,2023-02-05,RSV,NA,5230112.967898629
ARA Altenrhein,2023-02-06,IAV,M,9108686.784166345
ARA Altenrhein,2023-02-06,IBV,M,13903005.98355872
ARA Altenrhein,2023-02-06,RSV,NA,6231825.046089693
ARA Altenrhein,2023-02-07,IAV,M,3620277.904651532
ARA Altenrhein,2023-02-07,IBV,M,9406063.344192473
ARA Altenrhein,2023-02-07,RSV,NA,1665159.1563399693
ARA Altenrhein,2023-02-09,IAV,M,3101141.4274665224
ARA Altenrhein,2023-02-09,IBV,M,2584236.6970620793
ARA Altenrhein,2023-02-09,RSV,NA,516809.0834710483
ARA Altenrhein,2023-02-11,IAV,M,11510695.987838618
ARA Altenrhein,2023-02-11,IBV,M,7977004.207088453
ARA Altenrhein,2023-02-11,RSV,NA,772376.6068984116
ARA Altenrhein,2023-02-12,IAV,M,6135830.29576048
ARA Altenrhein,2023-02-12,IBV,M,10175643.529077496
ARA Altenrhein,2023-02-12,RSV,NA,2168585.914571432
ARA Altenrhein,2023-02-13,IAV,M,7234477.109875331
ARA Altenrhein,2023-02-13,IBV,M,8584117.505023874
ARA Altenrhein,2023-02-13,RSV,NA,5225021.2828002535
ARA Altenrhein,2023-02-14,IAV,M,15427571.424591139
ARA Altenrhein,2023-02-14,IBV,M,11209198.601814596
ARA Altenrhein,2023-02-14,RSV,NA,4963668.956154831
ARA Altenrhein,2023-02-16,IAV,M,3973594.4998178077
ARA Altenrhein,2023-02-16,IBV,M,5478932.8372229375
ARA Altenrhein,2023-02-16,RSV,NA,994863.0998650548
ARA Altenrhein,2023-02-18,IAV,M,5568250.148485802
ARA Altenrhein,2023-02-18,IBV,M,5332697.541682842
ARA Altenrhein,2023-02-18,RSV,NA,699396.1228446461
ARA Altenrhein,2023-02-19,IAV,M,10025068.017999193
ARA Altenrhein,2023-02-19,IBV,M,29465100.406086802
ARA Altenrhein,2023-02-19,RSV,NA,912090.6538171653
ARA Altenrhein,2023-02-20,IAV,M,17399702.858686123
ARA Altenrhein,2023-02-20,IBV,M,10433902.184047606
ARA Altenrhein,2023-02-20,RSV,NA,2235095.635546541
ARA Altenrhein,2023-02-21,IAV,M,11668133.469761685
ARA Altenrhein,2023-02-21,IBV,M,19717379.450661864
ARA Altenrhein,2023-02-21,RSV,NA,3648051.8242246574
ARA Altenrhein,2023-02-23,IAV,M,3073989.5399588244
ARA Altenrhein,2023-02-23,IBV,M,58470143.52960139
ARA Altenrhein,2023-02-23,RSV,NA,3356996.7637712425
ARA Altenrhein,2023-02-25,IAV,M,5264002.088328369
ARA Altenrhein,2023-02-25,IBV,M,19532667.360331584
ARA Altenrhein,2023-02-25,RSV,NA,3286484.594154177
ARA Altenrhein,2023-02-26,IAV,M,7302318.346180491
ARA Altenrhein,2023-02-26,IBV,M,15809001.687854376
ARA Altenrhein,2023-02-26,RSV,NA,3650746.841882534
ARA Altenrhein,2023-02-27,IAV,M,1941519.664947289
ARA Altenrhein,2023-02-27,IBV,M,9710132.960094744
ARA Altenrhein,2023-02-27,RSV,NA,1663227.8145048541
ARA Altenrhein,2023-02-28,IAV,M,3194004.437046257
ARA Altenrhein,2023-02-28,IBV,M,23669017.842752025
ARA Altenrhein,2023-02-28,RSV,NA,1601492.767600541
ARA Altenrhein,2023-03-02,IAV,M,4646312.0157616045
ARA Altenrhein,2023-03-02,IBV,M,19593875.30866904
ARA Altenrhein,2023-03-02,RSV,NA,2325610.4098980213
ARA Altenrhein,2023-03-04,IAV,M,3920248.321969847
ARA Altenrhein,2023-03-04,IBV,M,8860361.960395942
ARA Altenrhein,2023-03-04,RSV,NA,3401359.986812858
ARA Altenrhein,2023-03-05,IAV,M,0
ARA Altenrhein,2023-03-05,IBV,M,0
ARA Altenrhein,2023-03-05,RSV,NA,0
ARA Altenrhein,2023-03-06,IAV,M,2601175.6005078885
ARA Altenrhein,2023-03-06,IBV,M,22286891.249271624
ARA Altenrhein,2023-03-06,RSV,NA,2923743.9583099745
ARA Altenrhein,2023-03-07,IAV,M,2829607.7886159136
ARA Altenrhein,2023-03-07,IBV,M,20130652.945842333
ARA Altenrhein,2023-03-07,RSV,NA,769249.4765357804
ARA Altenrhein,2023-03-09,IAV,M,4273561.420621708
ARA Altenrhein,2023-03-09,IBV,M,15747958.288734928
ARA Altenrhein,2023-03-09,RSV,NA,1280029.9411453418
ARA Altenrhein,2023-03-11,IAV,M,2249538.650679583
ARA Altenrhein,2023-03-11,IBV,M,5182268.795695542
ARA Altenrhein,2023-03-11,RSV,NA,763227.5288323371
ARA Altenrhein,2023-03-12,IAV,M,3209356.691114366
ARA Altenrhein,2023-03-12,IBV,M,20710716.94146494
ARA Altenrhein,2023-03-12,RSV,NA,0
ARA Altenrhein,2023-03-13,IAV,M,3902226.4247008916
ARA Altenrhein,2023-03-13,IBV,M,16781337.29705451
ARA Altenrhein,2023-03-13,RSV,NA,1166981.3223587868
ARA Altenrhein,2023-03-14,IAV,M,7529165.025259849
ARA Altenrhein,2023-03-14,IBV,M,15719462.083343286
ARA Altenrhein,2023-03-14,RSV,NA,1377822.4008443172
ARA Altenrhein,2023-03-16,IAV,M,1353534.0604267851
ARA Altenrhein,2023-03-16,IBV,M,25370369.81661349
ARA Altenrhein,2023-03-16,RSV,NA,342161.3202917107
ARA Altenrhein,2023-03-18,IAV,M,1118718.263693635
ARA Altenrhein,2023-03-18,IBV,M,15669879.08872922
ARA Altenrhein,2023-03-18,RSV,NA,829497.4578918259
ARA Altenrhein,2023-03-19,IAV,M,3412299.4563225033
ARA Altenrhein,2023-03-19,IBV,M,16504856.189649971
ARA Altenrhein,2023-03-19,RSV,NA,0
ARA Altenrhein,2023-03-20,IAV,M,8092219.719751955
ARA Altenrhein,2023-03-20,IBV,M,18809225.46446927
ARA Altenrhein,2023-03-20,RSV,NA,725599.3592715012
ARA Altenrhein,2023-03-21,IAV,M,3108408.9658585405
ARA Altenrhein,2023-03-21,IBV,M,13481421.359824581
ARA Altenrhein,2023-03-21,RSV,NA,276772.73763501114
ARA Altenrhein,2023-03-23,IAV,M,1298198.515524462
ARA Altenrhein,2023-03-23,IBV,M,14032529.676162703
ARA Altenrhein,2023-03-23,RSV,NA,0
ARA Altenrhein,2023-03-25,IAV,M,1391158.2385464523
ARA Altenrhein,2023-03-25,IBV,M,12523604.130798263
ARA Altenrhein,2023-03-25,RSV,NA,501685.223525353
ARA Altenrhein,2023-03-26,IAV,M,2583243.45664563
ARA Altenrhein,2023-03-26,IBV,M,13409263.513758477
ARA Altenrhein,2023-03-26,RSV,NA,4123209.1160340584
ARA Altenrhein,2023-03-27,IAV,M,3453621.225036204
ARA Altenrhein,2023-03-27,IBV,M,10106392.812418522
ARA Altenrhein,2023-03-27,RSV,NA,511604.6892583396
ARA Altenrhein,2023-03-28,IAV,M,2853183.989201974
ARA Altenrhein,2023-03-28,IBV,M,11385145.608452901
ARA Altenrhein,2023-03-28,RSV,NA,364146.9131120818
ARA Altenrhein,2023-03-30,IAV,M,0
ARA Altenrhein,2023-03-30,IBV,M,4460100.659577437
ARA Altenrhein,2023-03-30,RSV,NA,1783940.8257735516
ARA Altenrhein,2023-04-01,IAV,M,141254.55596935304
ARA Altenrhein,2023-04-01,IBV,M,2268460.3398966216
ARA Altenrhein,2023-04-01,RSV,NA,454972.55088775686
ARA Altenrhein,2023-04-02,IAV,M,0
ARA Altenrhein,2023-04-02,IBV,M,3454790.5911554075
ARA Altenrhein,2023-04-02,RSV,NA,0
ARA Altenrhein,2023-04-03,IAV,M,0
ARA Altenrhein,2023-04-03,IBV,M,5417627.831860296
ARA Altenrhein,2023-04-03,RSV,NA,0
ARA Altenrhein,2023-04-04,IAV,M,0
ARA Altenrhein,2023-04-04,IBV,M,5055439.570281611
ARA Altenrhein,2023-04-04,RSV,NA,485479.273768925
ARA Altenrhein,2023-04-06,IAV,M,0
ARA Altenrhein,2023-04-06,IBV,M,5062114.428823942
ARA Altenrhein,2023-04-06,RSV,NA,506035.0783457793
ARA Altenrhein,2023-04-08,IAV,M,320877.92022399575
ARA Altenrhein,2023-04-08,IBV,M,3213458.0461261882
ARA Altenrhein,2023-04-08,RSV,NA,1607371.6894237185
ARA Altenrhein,2023-04-09,IAV,M,1307373.8555143208
ARA Altenrhein,2023-04-09,IBV,M,3268723.1851948025
ARA Altenrhein,2023-04-09,RSV,NA,430002.06138963596
ARA Altenrhein,2023-04-10,IAV,M,1102560.1978501594
ARA Altenrhein,2023-04-10,IBV,M,2639682.451742097
ARA Altenrhein,2023-04-10,RSV,NA,442674.272099085
ARA Altenrhein,2023-04-13,IAV,M,556049.5877164967
ARA Altenrhein,2023-04-13,IBV,M,2190932.55128033
ARA Altenrhein,2023-04-13,RSV,NA,556049.5877164967
ARA Altenrhein,2023-04-15,IAV,M,0
ARA Altenrhein,2023-04-15,IBV,M,3710449.394826549
ARA Altenrhein,2023-04-15,RSV,NA,0
ARA Altenrhein,2023-04-16,IAV,M,0
ARA Altenrhein,2023-04-16,IBV,M,0
ARA Altenrhein,2023-04-16,RSV,NA,0
ARA Altenrhein,2023-04-17,IAV,M,0
ARA Altenrhein,2023-04-17,IBV,M,0
ARA Altenrhein,2023-04-17,RSV,NA,953685.2364624344
ARA Altenrhein,2023-04-18,IAV,M,3140811.051502158
ARA Altenrhein,2023-04-18,IBV,M,2262158.8444095026
ARA Altenrhein,2023-04-18,RSV,NA,0
ARA Altenrhein,2023-04-20,IAV,M,1052177.0793409126
ARA Altenrhein,2023-04-20,IBV,M,1055245.5002917247
ARA Altenrhein,2023-04-20,RSV,NA,0
ARA Altenrhein,2023-04-22,IAV,M,0
ARA Altenrhein,2023-04-22,IBV,M,1520962.545097056
ARA Altenrhein,2023-04-22,RSV,NA,0
ARA Altenrhein,2023-04-23,IAV,M,0
ARA Altenrhein,2023-04-23,IBV,M,1286145.8063839125
ARA Altenrhein,2023-04-23,RSV,NA,644926.1052086124
ARA Altenrhein,2023-04-24,IAV,M,0
ARA Altenrhein,2023-04-24,IBV,M,1895723.4428590417
ARA Altenrhein,2023-04-24,RSV,NA,0
ARA Altenrhein,2023-04-25,IAV,M,0
ARA Altenrhein,2023-04-25,IBV,M,2910701.023233901
ARA Altenrhein,2023-04-25,RSV,NA,0
ARA Altenrhein,2023-04-27,IAV,M,375335.3853978251
ARA Altenrhein,2023-04-27,IBV,M,2607064.75904804
ARA Altenrhein,2023-04-27,RSV,NA,0
ARA Altenrhein,2023-04-29,IAV,M,0
ARA Altenrhein,2023-04-29,IBV,M,1878605.1698566882
ARA Altenrhein,2023-04-29,RSV,NA,0
ARA Altenrhein,2023-04-30,IAV,M,477011.50040276657
ARA Altenrhein,2023-04-30,IBV,M,4171131.6784469862
ARA Altenrhein,2023-04-30,RSV,NA,0
ARA Altenrhein,2023-05-04,IAV,M,371609.06489680207
ARA Altenrhein,2023-05-04,IBV,M,1473568.271633267
ARA Altenrhein,2023-05-04,RSV,NA,371609.06489680207
ARA Altenrhein,2023-05-06,IAV,M,1090168.719422042
ARA Altenrhein,2023-05-06,IBV,M,734620.2095694337
ARA Altenrhein,2023-05-06,RSV,NA,0
ARA Altenrhein,2023-05-07,IAV,M,0
ARA Altenrhein,2023-05-07,IBV,M,1535692.726559639
ARA Altenrhein,2023-05-07,RSV,NA,0
ARA Altenrhein,2023-05-08,IAV,M,0
ARA Altenrhein,2023-05-08,IBV,M,2711765.27534837
ARA Altenrhein,2023-05-08,RSV,NA,895784.9555971911
ARA Altenrhein,2023-05-09,IAV,M,0
ARA Altenrhein,2023-05-09,IBV,M,0
ARA Altenrhein,2023-05-09,RSV,NA,0
ARA Altenrhein,2023-05-11,IAV,M,0
ARA Altenrhein,2023-05-11,IBV,M,1358714.4450076737
ARA Altenrhein,2023-05-11,RSV,NA,667915.7477883868
ARA Altenrhein,2023-05-12,IAV,M,0
ARA Altenrhein,2023-05-12,IBV,M,1160271.0885047785
ARA Altenrhein,2023-05-12,RSV,NA,0
ARA Altenrhein,2023-05-13,IAV,M,0
ARA Altenrhein,2023-05-13,IBV,M,1271337.374931451
ARA Altenrhein,2023-05-13,RSV,NA,0
ARA Altenrhein,2023-05-14,IAV,M,0
ARA Altenrhein,2023-05-14,IBV,M,0
ARA Altenrhein,2023-05-14,RSV,NA,0
ARA Altenrhein,2023-05-18,IAV,M,1649058.723714575
ARA Altenrhein,2023-05-18,IBV,M,1667864.8390814492
ARA Altenrhein,2023-05-18,RSV,NA,0
ARA Altenrhein,2023-05-20,IAV,M,0
ARA Altenrhein,2023-05-20,IBV,M,0
ARA Altenrhein,2023-05-20,RSV,NA,448552.4600684044
ARA Altenrhein,2023-05-21,IAV,M,0
ARA Altenrhein,2023-05-21,IBV,M,0
ARA Altenrhein,2023-05-21,RSV,NA,0
ARA Altenrhein,2023-05-22,IAV,M,0
ARA Altenrhein,2023-05-22,IBV,M,657485.3881344434
ARA Altenrhein,2023-05-22,RSV,NA,328736.73772039346
ARA Altenrhein,2023-05-23,IAV,M,0
ARA Altenrhein,2023-05-23,IBV,M,309649.78527662857
ARA Altenrhein,2023-05-23,RSV,NA,0
ARA Altenrhein,2023-05-25,IAV,M,0
ARA Altenrhein,2023-05-25,IBV,M,973422.422345976
ARA Altenrhein,2023-05-25,RSV,NA,0
ARA Altenrhein,2023-05-27,IAV,M,0
ARA Altenrhein,2023-05-27,IBV,M,0
ARA Altenrhein,2023-05-27,RSV,NA,0
ARA Altenrhein,2023-05-28,IAV,M,0
ARA Altenrhein,2023-05-28,IBV,M,837041.9450798032
ARA Altenrhein,2023-05-28,RSV,NA,0
ARA Altenrhein,2023-05-29,IAV,M,0
ARA Altenrhein,2023-05-29,IBV,M,0
ARA Altenrhein,2023-05-29,RSV,NA,0
ARA Altenrhein,2023-05-30,IAV,M,288749.59987868357
ARA Altenrhein,2023-05-30,IBV,M,0
ARA Altenrhein,2023-05-30,RSV,NA,0
ARA Altenrhein,2023-06-01,IAV,M,279769.93167865596
ARA Altenrhein,2023-06-01,IBV,M,825889.6174805849
ARA Altenrhein,2023-06-01,RSV,NA,0
ARA Altenrhein,2023-06-03,IAV,M,0
ARA Altenrhein,2023-06-03,IBV,M,0
ARA Altenrhein,2023-06-03,RSV,NA,0
ARA Altenrhein,2023-06-04,IAV,M,0
ARA Altenrhein,2023-06-04,IBV,M,250598.33168818516
ARA Altenrhein,2023-06-04,RSV,NA,0
ARA Altenrhein,2023-06-05,IAV,M,0
ARA Altenrhein,2023-06-05,IBV,M,280669.9598752504
ARA Altenrhein,2023-06-05,RSV,NA,285370.3128742809
ARA Altenrhein,2023-06-06,IAV,M,0
ARA Altenrhein,2023-06-06,IBV,M,266539.32275537035
ARA Altenrhein,2023-06-06,RSV,NA,0
ARA Altenrhein,2023-06-08,IAV,M,0
ARA Altenrhein,2023-06-08,IBV,M,1785700.885932024
ARA Altenrhein,2023-06-08,RSV,NA,0
ARA Altenrhein,2023-06-10,IAV,M,4485410.557675836
ARA Altenrhein,2023-06-10,IBV,M,497100.9060136521
ARA Altenrhein,2023-06-10,RSV,NA,0
ARA Altenrhein,2023-06-11,IAV,M,0
ARA Altenrhein,2023-06-11,IBV,M,764009.0010356065
ARA Altenrhein,2023-06-11,RSV,NA,0
ARA Altenrhein,2023-06-12,IAV,M,0
ARA Altenrhein,2023-06-12,IBV,M,604754.8551743985
ARA Altenrhein,2023-06-12,RSV,NA,0
ARA Altenrhein,2023-06-13,IAV,M,0
ARA Altenrhein,2023-06-13,IBV,M,516441.98634824454
ARA Altenrhein,2023-06-13,RSV,NA,0
ARA Altenrhein,2023-06-15,IAV,M,0
ARA Altenrhein,2023-06-15,IBV,M,0
ARA Altenrhein,2023-06-15,RSV,NA,0
ARA Altenrhein,2023-06-17,IAV,M,0
ARA Altenrhein,2023-06-17,IBV,M,0
ARA Altenrhein,2023-06-17,RSV,NA,0
ARA Altenrhein,2023-06-18,IAV,M,0
ARA Altenrhein,2023-06-18,IBV,M,767621.7641850576
ARA Altenrhein,2023-06-18,RSV,NA,0
ARA Altenrhein,2023-06-19,IAV,M,0
ARA Altenrhein,2023-06-19,IBV,M,1918439.9564859313
